uID,username,password,anon,doctor,,uID,category,name,date,description
1,alice,123,y,,,1,GI,Broken arm,2014-02-01,He done broke his arm
2,bob,234,n,,,1,CI,Death,2014-01-26,He done died
3,jim,345,n,,,1,MED,Tylenol,1905-03-23,Yea he wanted tylenol
4,allen,456,n,,,1,AL,Peanuts,1822-12-28,He cant eat them
5,drPaul,567,,y,,2,CI,Chronic hepatitis,2004-04-28,He has it
6,drJon,678,,y,,2,MED,Drug A,2004-04-28,for hepatitis
7,drPete,789,,y,,2,GI,Halitosis,1999-04-15,Smelly
8,drFrank,890,,y,,3,MED,Anti-Depresant,Circa 1022,long time ago
9,drJake,901,,y,,3,GI,Broken toe,2359-23-98,He will break a toe I GUARENTEE IT
,,,,,,3,AL,Corn,2005-06-23,How do you survive in america
,,,,,,3,CI,Carpel Tunnel,2016-01-02,Hurts to type
uID,category,pID,,,,3,CI,QWERTYitis,1997-01-11,From working too hard
1,all,1,,GI,,4,MED,Adderal,2011-08-30,For focusing
2,all,2,,AL,,4,AL,Cell Phone,0934-03-02,Did cell phones exist then
3,all,3,,CI,,4,CI,nope,1555-12-31,ummmm
4,all,4,,MED,,,,,,
5,"MED,GI","1,2,3",,,,,,,,
6,"MED,AL","1,4",,,,,,,,
7,"MED,CI,GI,AL",3,,,,,,,,
8,MED,"1,2,3,4",,,,,,,,
9,"MED,CI","2,4",,,,,,,,
